DateTime,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
2000-01-28,952,603289,507,300523,511,300730,600237,300081,582,725,300553,606,300538,600228,876,300691,600299,300504,600317,300149,810,300536,600355,600345,300589,300726,300586,526,300108,420,300541,851,885,923,300527,819,765,600307,600321,300569,603180,615,600303,762,600337,600313,863,423,300021,300683,300659,300034,300038,554,658,581,300058,300696,603259,5,300697,603196,566,488,806,987,600901,753,69,719,601,951
2000-02-29,300730,300523,300179,516,606,600328,300649,603876,660,300560,430,300740,549,300726,300747,600345,600354,300582,300709,603895,631,560,34,429,300723,600306,600355,300605,300500,14,603607,409,600339,530,603161,300665,11,719,652,59,786,428,827,780,671,411,50,627,876,586,821,662,23,908,829,831,721,48,776,951,869,40,791,608,800,600901,610,35,601,712,545,507
2000-03-31,956,48,603300,600223,603090,850,603226,779,603881,78,543,300631,836,925,2185,592,300511,300133,600196,603259,418,862,600301,603860,300529,90,603197,300554,626,300575,39,600313,603180,300118,826,300530,935,300037,780,603189,10,950,899,609,520,36,300135,563,601,300520,600331,600355,552,539,526,300583,29,31,591,600,300691,603232,610,823,300144,629,521,300699,608,882,12,837
2000-04-28,507,300179,502,626,603090,300746,763,603879,983,912,603179,953,300036,300181,600258,600307,410,600234,900,919,48,523,300103,300543,300168,300149,906,1,833,300532,300182,300549,498,300539,600217,300040,300535,300621,600329,766,300682,600332,300534,637,300609,615,705,300169,300038,603603,488,603859,526,300158,666,9,47,600345,935,603605,300738,782,699,813,29,33,902,300699,12,636,692,756
2000-05-31,166,300726,603161,300730,507,300747,300523,15,544,300515,603320,603330,905,61,90,300490,603197,733,300518,300031,836,962,300731,300103,789,796,300538,768,300626,562,721,603259,917,300042,300061,730,603868,850,533,300532,31,710,300647,713,300691,895,678,300556,669,428,752,300525,510,2185,526,300528,839,300108,300651,603180,600328,621,300494,300701,915,885,9,751,300745,759,715,540
2000-06-30,603305,15,300515,300726,300747,300041,1,603090,48,300168,962,300676,603299,970,665,300050,300631,722,545,300690,911,600236,300118,603881,300509,570,532,600303,600351,300527,967,300081,758,955,300111,300648,812,300174,300636,300116,300647,300554,663,732,658,600881,603203,899,738,885,300682,300139,300620,33,31,88,603138,603232,600222,603890,631,300115,29,300679,300692,300600,528,300138,300700,600258,300745,507
2000-07-31,972,973,543,300119,603268,603858,791,300599,603167,300028,300098,603355,962,300122,886,300581,300540,848,600234,300506,863,300746,603179,300184,166,535,720,603196,413,58,897,600217,600,603322,603198,300136,600320,966,603269,573,701,13,300038,652,603358,667,669,950,799,977,300719,300167,300602,603878,609,300513,300183,588,300605,666,300721,563,300158,300514,703,957,300080,300617,157,300563,600332,603603
2000-08-31,502,603090,603101,911,1,619,757,300605,910,755,929,789,300551,300501,300612,916,412,880,600232,557,300119,300050,928,300725,300670,300553,937,300172,300114,300543,826,820,603179,300017,8,603606,667,603612,795,43,49,603887,300691,300527,610,20,300593,300133,300600,715,603188,300091,529,300540,554,300092,603605,632,600322,300163,603286,609,777,300563,2185,603883,603158,603223,751,300018,300598,603860
2000-09-29,603366,603161,603895,300523,300515,300617,543,600316,531,760,300687,300591,300182,417,300058,300626,300529,603330,603169,906,603198,300553,546,789,300550,905,962,300722,603856,300615,603889,603355,300118,603158,300031,521,20,672,603876,937,300563,300741,951,300692,667,29,570,300022,600933,515,411,300592,300698,526,751,603303,806,300525,632,660,600303,300604,603603,428,756,961,598,300628,300072,686,725,932
2000-10-31,852,603895,702,300015,681,300535,300019,752,839,603165,767,300091,300722,300687,300507,882,695,300504,626,300143,524,603305,300636,603101,429,300493,300510,766,300615,2840,300082,300641,300621,300585,300631,651,977,430,970,667,603890,902,603303,300227,300108,300038,660,569,300550,863,823,300622,721,300097,20,603603,300683,600301,893,300137,2186,300670,300540,548,600346,300698,503,785,300700,603228,300691,688
2000-11-30,603306,300279,603348,603895,543,603199,626,815,300569,603090,1,300699,725,603858,300107,603181,972,882,603233,300029,300204,802,603169,603356,925,929,425,572,603179,981,603301,300650,88,603866,300662,300567,667,583,682,509,300686,300507,300636,300137,300525,300162,817,719,761,503,300093,598,600332,300064,300531,2186,300538,983,603189,618,300627,923,68,300504,300496,419,300013,300570,590,600301,300580,300028
2000-12-29,603161,603895,603106,300627,535,663,839,603869,300703,670,300111,600311,598,709,300539,37,809,936,300660,40,300022,300002,503,672,698,300746,938,603186,603167,600298,600217,901,603359,621,921,415,587,300565,300513,90,671,300708,603189,778,300741,300585,300604,583,411,2185,600255,825,300041,632,300504,300503,913,300540,982,603380,967,928,300552,300012,300569,300163,300507,300591,603886,300620,300679,300600
2001-01-19,300523,15,300730,300590,300535,551,603871,626,789,65,619,663,8,12,333,779,300528,603608,903,618,826,600237,300658,300567,730,300038,722,603612,695,782,543,600327,300610,422,300022,300533,300552,933,603099,300666,300144,300575,585,603268,811,600355,48,300636,600328,613,300621,300553,777,600235,300559,300569,78,300284,919,600223,300531,300530,511,603429,300132,603605,9,300593,300735,807,300716,300607
2001-02-28,300450,300523,300726,603161,300747,507,300730,15,300595,543,626,603269,300057,831,903,886,300615,972,300677,681,300688,300647,619,300671,600939,300041,766,300129,603186,603168,600309,300143,411,300029,553,611,300636,667,600299,603871,975,300736,533,778,300641,300617,300137,29,425,300616,725,663,48,49,300737,300508,300565,300098,18,300585,603180,608,300570,526,603612,300584,300507,300503,510,300504,2186,863
2001-03-30,543,626,603159,300329,603338,300588,300080,603556,603129,979,300179,860,300647,607,300159,514,300259,300680,600239,420,603300,300030,603880,876,603377,300115,600232,300651,300092,603861,950,767,962,300143,603177,955,603367,555,300712,7,600225,300184,300513,817,780,549,423,430,37,602,43,300660,600322,526,569,300713,300732,603178,47,672,300681,710,300737,795,300013,20,300600,429,603889,300689,603883,9
2001-04-30,603895,882,626,300241,300677,300184,603101,300029,5,603881,300159,16,300033,61,610,300618,60,783,860,600197,600237,806,603365,300114,931,600231,603283,603286,819,798,300062,300088,565,603858,600195,603890,300721,603416,546,300100,603386,300700,300249,736,716,7,603367,300504,300741,300655,300493,300735,300529,300652,816,300503,300017,594,300508,600299,8,300708,603608,300495,300106,598,300639,733,600321,300596,603222,603612
2001-05-31,507,540,530,582,300611,300730,300726,300747,550,300709,603895,600333,3,300523,626,543,603378,603881,300649,603300,783,603157,300541,903,880,300602,27,603090,622,567,514,600196,758,603598,300675,300699,300616,628,594,300568,600235,862,300513,300238,300106,300737,300736,603131,603367,300491,938,300263,300683,300647,583,300609,300088,791,552,300503,300508,600302,600315,603196,300578,300713,300093,300509,300672,35,603269,300555
2001-06-29,300344,582,300730,603895,507,300726,422,300027,603159,667,982,929,603879,600250,739,975,300746,300133,300143,815,600297,611,848,970,300592,300541,673,626,600255,603188,300669,300534,603177,913,895,556,300034,300503,600249,600312,300516,600236,672,600901,909,532,885,603859,603612,300656,600333,600351,408,300620,584,603300,603298,300527,300563,600258,35,603303,300740,300507,603368,300636,300510,963,603180,939,565,603869
